18,0,0,750,0
18,0,0,500,0
20,10000,4,900,0
25,0,8,2000,1
50,300000,9,8000,1
19,250,3,1600,1
40,40000,8,4200,1
30,50000,2,2000,0
22,2000,6,1200,0
60,0,7,3800,1
29,400000,10,8000,1
18,0,0,750,0
18,0,0,500,0
20,10000,4,900,0
25,0,8,2000,1
50,300000,9,8000,1
19,250,3,1600,1
40,40000,8,4200,1
30,50000,2,2000,0
22,2000,6,1200,0
60,0,7,3800,1
29,400000,10,8000,1
18,0,0,750,0
18,0,0,500,0
20,10000,4,900,0
25,0,8,2000,1
50,300000,9,8000,1
19,250,3,1600,1
40,40000,8,4200,1
30,50000,2,2000,0
22,2000,6,1200,0
60,0,7,3800,1
29,400000,10,8000,1
18,0,0,750,0
18,0,0,500,0
20,10000,4,900,0
25,0,8,2000,1
50,300000,9,8000,1
19,250,3,1600,1
40,40000,8,4200,1
30,50000,2,2000,0
22,2000,6,1200,0
60,0,7,3800,1
29,400000,10,8000,1
18,0,0,750,0
18,0,0,500,0
20,10000,4,900,0
25,0,8,2000,1
50,300000,9,8000,1
19,250,3,1600,1
40,40000,8,4200,1
30,50000,2,2000,0
22,2000,6,1200,0
60,0,7,3800,1
29,400000,10,8000,1
29,400000,10,8000,1
