5008804,Y,Y,0,427500,-12005,-4542,1,1,0,0,2
5008805,Y,Y,0,427500,-12005,-4542,1,1,0,0,2
5008806,Y,Y,0,112500,-21474,-1134,1,0,0,0,2
5008808,N,Y,0,270000,-19110,-3051,1,0,1,1,1
5008809,N,Y,0,270000,-19110,-3051,1,0,1,1,1
5008810,N,Y,0,270000,-19110,-3051,1,0,1,1,1
5008811,N,Y,0,270000,-19110,-3051,1,0,1,1,1
5008812,N,Y,0,283500,-22464,365243,1,0,0,0,1
5008813,N,Y,0,283500,-22464,365243,1,0,0,0,1
5008814,N,Y,0,283500,-22464,365243,1,0,0,0,1
5008815,Y,Y,0,270000,-16872,-769,1,1,1,1,2
5112956,Y,Y,0,270000,-16872,-769,1,1,1,1,2
6153651,Y,Y,0,270000,-16872,-769,1,1,1,1,2
5008819,Y,Y,0,135000,-17778,-1194,1,0,0,0,2
5008820,Y,Y,0,135000,-17778,-1194,1,0,0,0,2
5008821,Y,Y,0,135000,-17778,-1194,1,0,0,0,2
5008822,Y,Y,0,135000,-17778,-1194,1,0,0,0,2
5008823,Y,Y,0,135000,-17778,-1194,1,0,0,0,2
5008824,Y,Y,0,135000,-17778,-1194,1,0,0,0,2
5008825,Y,N,0,130500,-10669,-1103,1,0,0,0,2
5008826,Y,N,0,130500,-10669,-1103,1,0,0,0,2
5008830,N,Y,0,157500,-10031,-1469,1,0,1,0,2
5008831,N,Y,0,157500,-10031,-1469,1,0,1,0,2
5008832,N,Y,0,157500,-10031,-1469,1,0,1,0,2
5008834,N,Y,1,112500,-10968,-1620,1,0,0,0,2
5008835,N,Y,1,112500,-10968,-1620,1,0,0,0,2
6153712,N,Y,1,112500,-10968,-1620,1,0,0,0,2
5008836,Y,Y,3,270000,-12689,-1163,1,0,0,0,5
5008837,Y,Y,3,270000,-12689,-1163,1,0,0,0,5
5008838,N,Y,1,405000,-11842,-2016,1,0,0,0,3
5008839,N,Y,1,405000,-11842,-2016,1,0,0,0,3
5008840,N,Y,1,405000,-11842,-2016,1,0,0,0,3
5008841,N,Y,1,405000,-11842,-2016,1,0,0,0,3
5008842,N,Y,1,405000,-11842,-2016,1,0,0,0,3
5008843,N,Y,1,405000,-11842,-2016,1,0,0,0,3
5008844,Y,Y,0,112500,-20502,-4450,1,0,1,0,2
5008846,Y,Y,0,112500,-20502,-4450,1,0,1,0,2
5008847,Y,Y,0,112500,-20502,-4450,1,0,1,0,2
5008849,Y,Y,0,112500,-20502,-4450,1,0,1,0,2
5008850,Y,Y,0,112500,-20502,-4450,1,0,1,0,2
5008851,Y,Y,0,112500,-20502,-4450,1,0,1,0,2
5008852,Y,Y,0,112500,-20502,-4450,1,0,1,0,2
5008853,Y,Y,0,112500,-20502,-4450,1,0,1,0,2
6153733,Y,Y,0,112500,-20502,-4450,1,0,1,0,2
6153734,Y,Y,0,112500,-20502,-4450,1,0,1,0,2
6153735,Y,Y,0,112500,-20502,-4450,1,0,1,0,2
5008854,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008855,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008856,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008857,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008858,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008859,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008860,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008861,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008862,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008863,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008864,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008865,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008866,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
5008867,Y,Y,2,135000,-15761,-3173,1,0,0,0,4
